League;Date;Get;Pay;Value;Confidence
Scourge;2022-01-09;Orb of Regret;Chaos Orb;0.54886;High
Scourge;2022-01-10;Orb of Regret;Chaos Orb;0.56265;High
Scourge;2022-01-11;Orb of Regret;Chaos Orb;0.6378;High
Scourge;2022-01-12;Orb of Regret;Chaos Orb;0.62259;High
Scourge;2022-01-13;Orb of Regret;Chaos Orb;0.69268;High
Scourge;2022-01-14;Orb of Regret;Chaos Orb;0.69321;High
Scourge;2022-01-15;Orb of Regret;Chaos Orb;0.6825;High
Scourge;2022-01-16;Orb of Regret;Chaos Orb;0.64478;High
Scourge;2022-01-17;Orb of Regret;Chaos Orb;0.68922;High
Scourge;2022-01-18;Orb of Regret;Chaos Orb;0.66146;High
Scourge;2022-01-19;Orb of Regret;Chaos Orb;0.64111;High
Scourge;2022-01-20;Orb of Regret;Chaos Orb;0.65973;High
Scourge;2022-01-21;Orb of Regret;Chaos Orb;0.6632;High
Scourge;2022-01-22;Orb of Regret;Chaos Orb;0.66667;High
Scourge;2022-01-23;Orb of Regret;Chaos Orb;0.66648;High
Scourge;2022-01-24;Orb of Regret;Chaos Orb;0.66628;High
Scourge;2022-01-25;Orb of Regret;Chaos Orb;0.66617;High
Scourge;2022-01-26;Orb of Regret;Chaos Orb;0.66667;High
Scourge;2022-01-27;Orb of Regret;Chaos Orb;0.66486;High
Scourge;2022-01-28;Orb of Regret;Chaos Orb;0.65213;High
Scourge;2022-01-29;Orb of Regret;Chaos Orb;0.66428;High
Scourge;2022-01-30;Orb of Regret;Chaos Orb;0.6626;High
Scourge;2022-01-31;Orb of Regret;Chaos Orb;0.73742;High
Scourge;2022-02-01;Orb of Regret;Chaos Orb;0.66424;High
Scourge;2021-10-22;Scroll of Wisdom;Chaos Orb;0.29292;High
Scourge;2021-10-23;Scroll of Wisdom;Chaos Orb;0.01424;High
Scourge;2021-10-24;Scroll of Wisdom;Chaos Orb;0.00862;High
Scourge;2021-10-25;Scroll of Wisdom;Chaos Orb;0.00661;High
Scourge;2021-10-26;Scroll of Wisdom;Chaos Orb;0.00587;High
Scourge;2021-10-27;Scroll of Wisdom;Chaos Orb;0.00555;High
Scourge;2021-10-28;Scroll of Wisdom;Chaos Orb;0.00474;High
Scourge;2021-10-29;Scroll of Wisdom;Chaos Orb;0.00417;High
Scourge;2021-10-30;Scroll of Wisdom;Chaos Orb;0.00361;High
Scourge;2021-10-31;Scroll of Wisdom;Chaos Orb;0.00332;High
Scourge;2021-11-01;Scroll of Wisdom;Chaos Orb;0.00331;High
Scourge;2021-11-02;Scroll of Wisdom;Chaos Orb;0.00331;High
Scourge;2021-11-03;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-04;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-05;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-06;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-07;Scroll of Wisdom;Chaos Orb;0.00332;High
Scourge;2021-11-08;Scroll of Wisdom;Chaos Orb;0.00314;High
Scourge;2021-11-09;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-10;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-11;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-12;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-13;Scroll of Wisdom;Chaos Orb;0.00357;High
Scourge;2021-11-14;Scroll of Wisdom;Chaos Orb;0.00349;High
Scourge;2021-11-15;Scroll of Wisdom;Chaos Orb;0.00337;High
Scourge;2021-11-16;Scroll of Wisdom;Chaos Orb;0.00358;High
Scourge;2021-11-17;Scroll of Wisdom;Chaos Orb;0.00357;High
Scourge;2021-11-18;Scroll of Wisdom;Chaos Orb;0.00356;High
Scourge;2021-11-19;Scroll of Wisdom;Chaos Orb;0.00354;High
Scourge;2021-11-20;Scroll of Wisdom;Chaos Orb;0.00353;High
Scourge;2021-11-21;Scroll of Wisdom;Chaos Orb;0.00354;High
Scourge;2021-11-22;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-23;Scroll of Wisdom;Chaos Orb;0.00333;High
Scourge;2021-11-24;Scroll of Wisdom;Chaos Orb;0.00368;High
Scourge;2021-11-25;Scroll of Wisdom;Chaos Orb;0.00357;High
Scourge;2021-11-26;Scroll of Wisdom;Chaos Orb;0.00378;High
